id,severity,category,confidence,basis,count,first_seen,last_seen,untimed_count,level_max,services,hosts_distinct,logger,exception_type,exception_chain,http_status,http_method,error_code,template,attribution_status,repositories,top_repo_confidence,investigation_status,suggestion_kind,suggestion_summary,example_input,example_line,fingerprint
LT-d35ab553479c,high,availability,0.85,observed,2,2026-09-13T12:00:00Z,2026-09-13T12:00:03Z,0,error,,0,,,,502,POST,,POST /api/orders/<n> -> <n>,unresolved,orders,0.1,insufficient_evidence,,,logs/access-combined.log,1,d35ab553479c215700ef81acd1b7817bc11b1ecd7ba379729588f7927e0cd1f3
LT-45812cae8cb3,high,availability,0.85,observed,1,2026-09-13T12:30:00Z,2026-09-13T12:30:00Z,0,ERROR,order-service,0,,,,500,,,Failed to process order <uuid> for user <n> status code 500 service=order-service,unresolved,,,insufficient_evidence,,,logs/grouping-equivalence.log,31,45812cae8cb36f61f0a647b002215444460461ce28291733e596b4013a62e69e
LT-0b8d948bb890,high,availability,0.85,observed,1,2026-09-13T12:30:01Z,2026-09-13T12:30:01Z,0,ERROR,order-service,0,,,,503,,,Failed to process order <uuid> for user <n> status code 503 service=order-service,unresolved,,,insufficient_evidence,,,logs/grouping-equivalence.log,32,0b8d948bb8909f78c67bda7f91629de508fd2a06f779e07a1e0d95e517e9fc8e
LT-0687b7bfe339,medium,unknown,0.35,unknown,30,2026-09-13T12:00:00Z,2026-09-13T12:00:29Z,0,ERROR,order-service,0,,,,,,,Failed to process order <uuid> for user <n> from <ip>:<n> in <dur> (attempt <n>/<n>) request_id=req-<id> service=order-service,unresolved,,,insufficient_evidence,,,logs/grouping-equivalence.log,1,0687b7bfe339c3f76f0bb2781877b30b36b7b897850dc9137a119e72fc945152
LT-a90eef438a86,medium,network,0.85,observed,2,2026-09-13T10:00:01.456Z,2026-09-13T10:00:02Z,0,ERR,,0,,System.InvalidOperationException,System.InvalidOperationException>System.IO.IOException,,,,Failed to place order <n> for customer <n>,resolved,orders,1.0,deterministic,source_backed,Harden network error handling at the call site at src/Acme.Orders/OrderService.cs:42 (orders),logs/serilog-text.log,2,a90eef438a8623bce880cc9f9a5a482fcc63107da1dd8b66c3590188000aaa13
LT-102319349c95,medium,unknown,0.35,unknown,1,2026-09-13T10:00:01.123Z,2026-09-13T10:00:01.123Z,0,ERROR,,0,worker/main.go:42,,,,,,charge failed,unresolved,,,insufficient_evidence,,,logs/zap-console.log,2,102319349c9586dca92d055a14aba56cd24f458e50f5559053a4a434f99ae0b5
LT-85f302734ac6,medium,unknown,0.35,unknown,1,2026-09-13T10:00:01.123Z,2026-09-13T10:00:01.123Z,0,ERROR,,0,c.a.orders.OrderService,java.lang.IllegalStateException,java.lang.IllegalStateException,,,,Failed to place order <n>,unresolved,,,insufficient_evidence,,,logs/spring-boot.log,2,85f302734ac6f0ce15a20e88e268861c22a5373cef791f5c89db0025a63313c4
LT-bfc7484129c3,medium,network,0.85,observed,1,2026-09-13T12:00:01.123Z,2026-09-13T12:00:01.123Z,0,ERROR,,0,billing.worker,billing.errors.ChargeFailed,billing.errors.ChargeFailed>requests.exceptions.ConnectionError,,,,charge failed for order <n>,resolved,billing,1.0,deterministic,source_backed,Harden network error handling at the call site at billing/worker.py:33 (billing),logs/python-asctime.log,2,bfc7484129c3cc385b75edc98307377df3330da9fe843f9c65f94edd882e0143
LT-b1d0e8dc43fc,medium,network,0.85,observed,1,2026-09-13T12:00:02.123Z,2026-09-13T12:00:02.123Z,0,ERROR,,0,billing.worker,requests.exceptions.ConnectionError,requests.exceptions.ConnectionError,,,,charge failed for order <n>,resolved,billing,1.0,deterministic,source_backed,Harden network error handling at the call site at billing/charge.py:12 (billing),logs/python-asctime.log,16,b1d0e8dc43fc373acddeda7cbe3dda499ed337b56819bd0d3e843fe677bd6a2e
LT-6d7c6a6bd062,medium,unknown,0.35,unknown,1,2026-09-13T12:31:00Z,2026-09-13T12:31:00Z,0,ERROR,payment-service,0,,,,,,,Failed to process order <uuid> for user <n> from <ip>:<n> in <dur> (attempt <n>/<n>) request_id=req-<id> service=payment-service,unresolved,,,insufficient_evidence,,,logs/grouping-equivalence.log,33,6d7c6a6bd0624220de033c2e18f7c10f33412f8d94580ffc111c64de1585bcdc
LT-228bb4b285fb,low,performance,0.6,inferred,1,2026-09-13T10:00:03Z,2026-09-13T10:00:03Z,0,WRN,,0,,,,,,,Retrying payment (attempt <n>/<n>) after <dur>,unresolved,,,insufficient_evidence,,,logs/serilog-text.log,15,228bb4b285fb81fc0a3c94fd438c1acdeab37171a8e5a9ac74fbf3b13623c84a
LT-a0db72527b05,low,client_error,0.85,observed,1,2026-09-13T12:00:02Z,2026-09-13T12:00:02Z,0,warning,,0,,,,404,GET,,GET /api/orders/<n> -> <n>,unresolved,orders,0.1,insufficient_evidence,,,logs/access-combined.log,3,a0db72527b05b7d71e7a54317185f30f1f50475aa479dbd16b783e7fa799adf3
LT-4e9e698c369a,info,operational,0.6,inferred,1,2026-09-13T10:00:00.123Z,2026-09-13T10:00:00.123Z,0,INF,,0,,,,,,,Starting Acme.Orders,unresolved,orders,0.1,insufficient_evidence,,,logs/serilog-text.log,1,4e9e698c369a55e1195ef4b83c5d05cc92487611a22b5a13e78a170d0b06c361
LT-abe4e469a8d3,info,operational,0.6,inferred,1,2026-09-13T10:00:00.123Z,2026-09-13T10:00:00.123Z,0,INFO,,0,worker/main.go:20,,,,,,starting,unresolved,,,insufficient_evidence,,,logs/zap-console.log,1,abe4e469a8d3cf81fe0499f5711c0bf2e465ee4264090397228fb033ededec25
LT-f045f3c4e056,info,operational,0.6,inferred,1,2026-09-13T10:00:00.123Z,2026-09-13T10:00:00.123Z,0,INFO,,0,c.a.orders.App,,,,,,Started App in <dur>,unresolved,,,insufficient_evidence,,,logs/spring-boot.log,1,f045f3c4e05600b93faa1b4ca27631bc059a7403ec9c24c38ac96ed39eeda56a
